Text,Category
"According to family law, I am entitled to permanent maintenance, and I rely on it to meet my basic living expenses.",family
The contract stipulates penalties for breach of contract.,contract
A writ of scire facias was employed to revive a dormant judgment.,civil
The appellate court rendered a judgment in favor of the appellant.,criminal
The criminal investigation uncovered new evidence.,criminal
The implied notice of resignation was evident from the employee's resignation letter.,legal_notice
The agreement to sell the shares was subject to regulatory approval.,contract
A writ of habeas data was filed to access personal data held by a corporation.,civil
The agreement to sell the artwork was a private transaction.,contract
A writ of ne exeat was issued to prevent a parent from taking a child out of the country.,civil
"I have limited financial resources, and I need permanent maintenance to access legal representation and protect my rights.",family
The parties agreed to the terms of the lease contract.,contract
"According to family law, I am entitled to permanent maintenance, and I need it to maintain my independence and financial stability.",family
The defense attorney cross-examined the prosecution's witness.,criminal
Mutual decision: Ava and Samuel have chosen to end their marriage.,family
The contract allows for amendments with mutual consent.,contract
The contract incorporates the terms and conditions of the service agreement.,contract
The court ordered a preliminary injunction to prevent the destruction of evidence.,civil
Temporary maintenance is essential for me to maintain custody of my children and provide for their well-being.,family
The implied notice of non-payment was evident from the unpaid invoices.,legal_notice
"I have filed for divorce, and I need temporary maintenance to ensure that I can continue to pay for my children's education and healthcare.",family
A writ of habeas manum was employed to secure a slave's freedom.,civil
The gift deed transferred ownership of the land to the heirs.,contract
Temporary maintenance is necessary to prevent the depletion of my savings during the divorce proceedings.,family
The criminal trial included expert witness testimony.,criminal
Both parties signed the employment contract.,contract
The constant cruelty has left me emotionally drained.,family
The defendant's criminal history was considered during sentencing.,criminal
The court granted an injunction to halt the demolition of a historic building.,civil
The defendant's criminal conduct was captured on video.,criminal
The implied notice of the contract termination was evident from the letter of termination.,legal_notice
The gift deed was executed to express gratitude to a family member.,contract
Constructive notice of the property's historical significance was established by a plaque.,legal_notice
"I have been a stay-at-home parent, and I need temporary maintenance to transition into the workforce and gain financial independence.",family
The contract specifies the duration of the partnership.,contract
A writ of habeas animalia was sought to release an unlawfully detained animal.,civil
"I have been divorced for over a year, and I need permanent maintenance to continue supporting my elderly family members.",family
My spouse's unfaithfulness cheating has led to our divorce.,family
The criminal trial lasted for several weeks.,criminal
The court issued a permanent injunction to stop pollution of a river.,civil
The injunction prevented the defendant from publishing defamatory statements.,civil
An actual notice was sent to the landlord regarding the lease renewal.,legal_notice
Constructive notice of the building regulations was provided by the posted sign.,legal_notice
The injunction prohibited the use of a patented technology by the defendant.,civil
I cannot ignore the physical and emotional cruelty.,family
Mutual agreement: Rachel and Michael are parting ways amicably.,family
The court ordered a preliminary injunction to preserve evidence in the case.,civil
Constructive notice of the property's utility lines was provided by the utility markers.,legal_notice
The defendant's criminal behavior shocked the community.,criminal
The cruelty has created an unhealthy and unsafe environment.,family
The parties negotiated the terms of the sales agreement.,contract
A writ of execution was issued to enforce a monetary judgment.,civil
Constructive notice of the lawsuit was given through the legal summons.,legal_notice
The criminal defendant had a history of drug addiction.,criminal
A public notice was published in the local newspaper regarding the upcoming zoning changes.,legal_notice
The implied notice of termination was communicated through the supervisor's feedback.,legal_notice
The court granted an injunction to protect the endangered wildlife habitat.,civil
A writ of certiorari was filed to review a lower court's decision.,civil
The accused was arrested for theft and burglary.,criminal
The court issued a writ of habeas corpus to determine the legality of the detention.,civil
Constructive notice of the property's boundary was established by the visible fence.,legal_notice
The gift deed was signed in the presence of witnesses.,contract
The public notice announced the public auction of surplus government equipment.,legal_notice
The gift deed transferred ownership of the house to the new owner.,contract
The implied notice of the policy violation was conveyed through the written warning.,legal_notice
The public notice alerted citizens to the upcoming city council meeting.,legal_notice
An agreement to sell the business assets was reached.,contract
A writ of quo warranto was filed to challenge an individual's right to hold office.,civil
Temporary maintenance is required to protect my children's educational opportunities during the divorce process.,family
A writ of habeas hominem was filed to secure a person's release from illegal custody.,civil
My partner's infidelity has caused great pain.,family
The temporary injunction prevented the eviction of tenants during the dispute.,civil
Constructive notice of the property's easement was established by a recorded document.,legal_notice
The contract outlines the payment schedule for the project.,contract
The implied notice of the copyright infringement was given through the cease and desist letter.,legal_notice
An employment agreement was offered to the candidate.,contract
The parties entered into a joint venture agreement.,contract
The defendant was released on bail pending trial.,criminal
Temporary maintenance is necessary to maintain a safe and stable living environment for my children.,family
The contract contains a dispute resolution clause.,contract
An actual notice of the lawsuit was served to the defendant's attorney.,legal_notice
"Both parties, Emma and William, agree to divorce amicably.",family
A writ of mandamus was filed to compel a government agency to release public records.,civil
The contract specifies the delivery date of the goods.,contract
The criminal code defines various offenses.,criminal
The contract includes a confidentiality clause to protect sensitive information.,contract
The plaintiff initiated a criminal complaint against the fraudster.,criminal
A criminal complaint was filed against the suspect for embezzlement.,criminal
The defendant entered a plea of not guilty.,criminal
The court granted a temporary injunction to protect trade secrets.,civil
An actual notice was sent to the debtor regarding the outstanding debt.,legal_notice
A writ of assistance was used to aid in enforcing a court order.,civil
An actual notice of eviction was served to the tenant.,legal_notice
An actual notice was sent to the defendant regarding the lawsuit.,legal_notice
The victim provided a statement to the police.,criminal
The public notice announced the public consultation on the environmental impact statement.,legal_notice
My spouse's extramarital affair has caused irreparable damage.,family
The agreement to sell the collectibles was brokered by an agent.,contract
The court ordered a temporary restraining order (TRO) to prevent immediate harm.,civil
The prosecution presented evidence of the defendant's intent.,criminal
"After careful consideration, we, Sarah and David, have chosen divorce by mutual consent.",family
A writ of audita querela was filed to seek relief from a judgment due to equitable considerations.,civil
The contract includes an indemnification clause.,contract
The criminal defendant was found guilty of mail fraud.,criminal
